"Timestamp","Company name","HD logo","Twitter handle","Facebook username. ","Linkedin id. ","How would you define your company? What are your core company values ?","Language for communication about you","Introduction Tweet","Meet at their booth Tweet (Startups, Gold and Platinium only)","Special thanks Tweet","Company description","Website","Why become a DevFest Toulouse sponsor ?","Public contact information"
"2019/05/06 12:05:45 PM GMT+2","STACK LABS","https://drive.google.com/open?authuser=0&usp=forms_web&id=16-dMYeOmDRnpnRI796NoJxF37vL8YLHS","@stack_labs","","stacklabs","The new generation tech company. We ❤️ code, and building powerful & secured cloud architectures. We invest in tech watch & work with companies like Google & Amazon as partners.","Français","","","","The new generation tech company. We ❤️ code, and building powerful & secured cloud architectures. We invest in tech watch & work with companies like Google & Amazon as partners.","https://stack-labs.com","We want to share and meet cool & passionated developers during this incredible event !","meet@stack-labs.com , phone : 0623427747"
"2019/05/07 11:14:53 AM GMT+2","SII","https://drive.google.com/open?authuser=0&usp=forms_web&id=11aUuynuI24hc80XJNg47Ghkp8cbisEmq","@SIISudOuest","Groupe SII","Groupe SII","After 40 years of partnering with corporations for their engineering needs, the SII Group finds itself at the forefront of innovation and digital transformation. It relies on teams of expert engineers and on methods at the cutting-edge of quality standards for its business centered on engineering consulting (information technology, electronics and telecommunications) and digital services (engineering and network information technology).","Français","""Will be produced later""","""Will be produced later""","""Will be produced later""","After 40 years of partnering with corporations for their engineering needs, the SII Group finds itself at the forefront of innovation and digital transformation. It relies on teams of expert engineers and on methods at the cutting-edge of quality standards for its business centered on engineering consulting (information technology, electronics and telecommunications) and digital services (engineering and network information technology).
With nine field offices in France, the Group has built close relationships with local firms and offers a wide spectrum of career opportunities. Its presence in 18 countries and four continents also gives SII the ability to provide support for the international operations of major corporations.
","http://toulouse.groupe-sii.com/fr","It appeared essential to us to bring our support to this « don’t miss » event. We are quite pleased and proud to be able to play a concrete part in its success.  ","amorandi@sii.fr"
"2019/05/10 10:45:19 AM GMT+2","Morning","https://drive.google.com/open?authuser=0&usp=forms_web&id=1pU-IKIp1wW_-V3nMPo3U-b-iEgO7vX4B","@morning_com","@morning","morning","COCA (Cohésion, Originalité, Convivialité, Ambition)","Français","🤗 @morning_com est pour la seconde fois partenaire du #DevFestToulouse et Nous sommes fiers de compter sur leur soutien 😍
#Fintech #Startup #Neobanque ","Venez rencontrer l'équipe de X-men de chez @morning_com, ils vous attendent 😍#DevFestToulouse #Morning #Fintech #Startup","Les X-men de chez @morning_com étaient présents au #DevFestToulouse 2019 ! Merci d'avoir été Sponsor Soutien sur cette édition.","Au pied des Pyrénées, Morning et son équipe (ré)inventent les usages financiers. Dans un cadre authentique, l’équipe imagine et développe des solutions innovantes pour gérer son argent, disposer de moyens de paiement innovants et bénéficier de services sur-mesure.
 
Aujourd’hui Morning c’est :
Plus 150.000 comptes de paiement Morning
Plus de 50 millions d’euros collectés sur les cagnottes
Plus d’un million de transactions traitées avec succès !","https://morning.com/fr/","Morning est fier d'être un soutien du DevFest 2019 à Toulouse car c'est un évènement incontournable pour les développeurs ! En d'autres mots DevFest is the place to be !","marketing@morning.com - +33 (0)6 47 99 93 03"
"2019/05/10 10:54:22 AM GMT+2","Informatique Banque Populaire","https://drive.google.com/open?authuser=0&usp=forms_web&id=1wtG-J6fP8Fdzjc421l5bN2BZqb7AfjeO","@InformatiqueBP","compte non actif","Informatique Banque Populaire","Informatique Banque Populaire, filiale informatique du Groupe BPCE, regroupe 850 collaborateurs sur 6 sites. Elle développe et maintient le système d’information de l’ensemble des Banques Populaire régionales et de 3 filiales du groupe. Sa mission : construire un système adapté aux nouveaux enjeux de la distribution de produits et services bancaires et accompagner les banques dans leur mutation digitale. Laboratoire d'expérimentations, nouvelles méthodes de développement, mode produit, foisonnement d'idées, pratiques collaboratives, il y a tant à découvrir avec Informatique Banque Populaire, Osez l'équilibre !","Français","Welcome back à @InformatiqueBP cette année encore partenaire du #DevFestToulouse ! Editeur du SI des @BanquePopulaire, acteur majeur de l’IT en France et en Occitanie, nous les remercions pour leur soutien #CyberSecurite #DevOps #Angular #DeviOS #DevAndroid ","Will be produced later","Will be produced later","Informatique Banque Populaire, filiale du groupe bancaire BPCE, assure le développement informatique du système d’information des Banques Populaires.","https://informatique.banquepopulaire.fr/","Le DevFest Toulouse est un événement incontournable pour tout acteur IT en Occitanie. C'est une évidence pour Informatique Banque Populaire de s'associer à cette manifestation faite pour et par des développeurs et qui chaque année rassemble à fois : le meilleur des connaissances, des speakers de qualité, une organisation au top et une ambiance de dingue !",""
"2019/05/10 2:44:58 PM GMT+2","Squoring Technologies","https://drive.google.com/open?authuser=0&usp=forms_web&id=1e5em0y6wIaHGViX88VwX3yetDI9UEJie;https://drive.google.com/open?authuser=0&usp=forms_web&id=1yZFzAgDDGX5FooMeshFDfFTtvSkaPaN9","@squoring","https://www.facebook.com/squoring/","https://fr.linkedin.com/company/squoring-technologies","Innovation, excellence, enthousiasme","Français"," @Squoring Technologies devient partenaire du #devFestToulouse 2019! Editeur du tableau de bord Squore utilisé par de grands groupes industriels partout dans le monde et filiale de @Vectorgrp, nous sommes fiers de compter sur leur soutien 😍#softwareanalytics #sotwarecompliance","","Merci @Squoring @Vectorgrp de nous avoir soutenus pour cette 4ème édition! Joie d'avoir pour sponsor une entreprise innovante membre du Top 30 des éditeurs de logiciels Occitanie :-)","Créé à Toulouse en 2010, Squoring Technologies s’est imposé comme le spécialiste des solutions de pilotage de la qualité et de la performance des développements logiciels. Son tableau de bord d’analyse décisionnelle « Squore for Software Analytics », collecte, analyse et agrège en indicateurs pertinents et exploitables l’ensemble des données produites pendant le cycle de vie de production des logiciels pour évaluer et optimiser la performance des projets, le respect des processus et la qualité des livrables. Les solutions de Squoring Technologies sont utilisées par de nombreux grands groupes industriels en France et dans le monde. Depuis juin 2018, Squoring Technologies fait partie du groupe Vector Informatik, qui regroupe plus de 2, 500 employés dans le monde.","www.squoring.com / www.vector.com/","En tant qu'éditeur de logiciel à la pointe de l'innovation, notre participation au DevFest nous permet d'échanger avec tous les acteurs de notre écosystème sur les dernières avancées technologiques. A ce titre, tous les ingénieurs de notre équipe R&D sont invités à participer à l'événement pour partager et rester connectés avec la grande communauté des développeurs !","contact@squoring.com"
"2019/05/13 10:21:05 AM GMT+2","CNES","https://drive.google.com/open?authuser=0&usp=forms_web&id=1aA9Sve3FLn1V_mRzsD8cSNujll5W7iBv","@CNES","","","Le CNES propose aux pouvoirs publics la politique spatiale de la France et la met en oeuvre dans 5 grands domaines stratégiques : Ariane, les Sciences, l’Observation, les Télécommunications et la Défense.
Le CNES joue un rôle clé sur la scène spatiale nationale, européenne et internationale en étant à la fois une force d’impulsion, un moteur de proposition et un centre d’expertise technique.","Français","","","","Le CNES propose aux pouvoirs publics la politique spatiale de la France et la met en oeuvre dans 5 grands domaines stratégiques : Ariane, les Sciences, l’Observation, les Télécommunications et la Défense.","cnes.fr","Les métiers du CNES reposent de plus en plus sur l'informatique et le développement logiciel, que ce soit pour les logiciels bord ou les traitements au sol. Ces derniers utilisent de plus en plus les technologies issues du Big Data et du Machine Learning.",""
"2019/05/22 5:58:34 PM GMT+2","OpenAirlines","https://drive.google.com/open?authuser=0&usp=forms_web&id=1lzChI-uGCMYMLznYcL7MAr-0xk9RcbjE","OpenAirlines","openairlines","openairlines","Je pense que tout est là : https://www.welcometothejungle.co/fr/companies/openairlines sinon ne pas hésiter à nous contacter","Français"," 🤗@OpenAirlines est partenaire du #DevFestToulouse pour cette 3e édition! Solution innovante d’éco-pilotage pour les avions, nous sommes fiers de compter sur leur soutien 😍 #greenaviation #aero #devfestToulouse  ","Will be produced later","","Partant du constat que chaque année près de 660 millions de tonnes de CO2 sont émises par les avions, soit plus de 20 000 kilos de CO2 par seconde, cette clean-tech a décidé d’agir en développant des solutions innovantes pour aider les compagnies aériennes à réduire leurs coûts et leur impact environnemental.

Fruit de 7 ans de R&D, le logiciel d’éco-pilotage SkyBreathe® Fuel Efficiency sort sur le marché en 2013. S’appuyant sur des algorithmes de Big Data, d’Intelligence Artificielle et de Machine Learning, le logiciel analyse automatiquement les très nombreuses données disponibles dans les boites noires des avions afin d’évaluer l’efficacité énergétique des vols et émettre des recommandations permettant de réduire la consommation de carburant et les émissions de CO2 des avions. 

OpenAirlines est aujourd’hui leader sur son marché et emploie actuellement une quarantaine de collaborateurs à Toulouse et dans ses filiales à Hong Kong et à Miami.","https://openairlines.com/","OpenAirlines est fier de soutenir cet événement incontournable pour les développeurs ! On espère y rencontrer des développeurs curieux et innovants, motivés par les enjeux du réchauffement climatique et les défis technologiques qui permettront de sauver notre planète.",""
"2019/05/23 2:10:47 PM GMT+2","Cenareo","https://drive.google.com/open?authuser=0&usp=forms_web&id=16OyUS__owTRF0YCv8G0uDpaFwu9q_vg5","https://twitter.com/Cenareo","","https://www.linkedin.com/company/cenareo/","We develop the most easy to use digital signage CMS in SaaS mode. Designed to be the best ally of marketing and communications teams, our product is unique by its combination of simplicity and technology.
We empower brands to disseminate their stories around the world, anywhere, anytime, from any device.

As one team, we share common values:  Product Excellence, Customer Satisfaction, Team spirits, Inventiveness, and to always be Daring & Ambitious.","Français","Cette année, nous sommes heureux de compter sur le sponsorship de @Cenareo pour la 3e édition du #DevFestToulouse ! 
Au sein de l'écosystème toulousain #iotvalley, cette #startup montante à l'international est spécialisée en #affichagedynamique. 
#retail #dooh #makeascene ","""Will be produced later""","""Will be produced later""","Cenareo, previously CityMeo, is a real “French Tech” success story. Located in Labège within the IoT Valley, we develop a best-in-class digital signage CMS (SaaS mode) to create, manage and broadcast content on remote displays in real-time, from any PC, tablet or smartphone.
Created by 4 engineers, Cenareo has experienced exponential growth and rapid development since its inception in 2012, posting triple-digit growth and now counting upwards of 30 employees.
The company has ambitious targets and a Global outlook. We promote diversity and welcome multi-cultural and foreign applicants.","https://cenareo.com/fr/","Dev Fest is the best place to meet future “tech heroes” that share our values and will help us to shape the future of our ‘state-of-the-art’ technology.
#ProductExcellence  #CustomerSatisfaction  #TeamSpirits #Inventiveness #Daring & #Ambition","jobs@cenareo.com
+33 1 84 25 33 23"
"2019/05/23 2:22:07 PM GMT+2","DECASOFT","https://drive.google.com/open?authuser=0&usp=forms_web&id=15Xo5VmhWmkBP9iPhpkytMS_pDFP_EuFo","@Decasoft_SSII","decasoft","@decasoft","Convivialité, esprit d'équipe, qualité ","Français","@Decasoft_SSII est partenaire pour la deuxième fois du #DevFestToulouse ✌️
Société à taille humaine et conviviale, Decasoft s'investit sur le secteur du numérique et soutient des événements comme le #DevFestToulouse 😁","","Merci à @Decasoft_SSII pour le renouvellement de son soutien au #DevFestToulouse","Une société à taille humaine spécialisée en développement web et mobile implantée sur la ville lumière et la ville rose – Paris et Toulouse.
Nous assurons l’évolution professionnelle de nos collaborateurs vers de nouvelles technologies afin de calibrer nos postes selon leurs envies.
Pour casser la routine, retrouvez-nous au baby-foot et aux soirées afterwork. Nous pouvons par ailleurs vous garantir une ambiance dynamique et 100% conviviale.  ","http://www.decasoft.fr/","Pour rencontrer les acteurs du marché et s'investir sur l'avenir du numérique","recrutement@decasoft.fr, 07 87 62 74 94"
"2019/05/28 11:30:38 AM GMT+2","OneStock","https://drive.google.com/open?authuser=0&usp=forms_web&id=1g6Tta3VY_JCNFbUIr3P8BtxUGu0dCGUr","@_OneStock_FR","","OneStock France","OneStock propose une suite logicielle omnicanale d’Order Management à destination des retailers souhaitant rendre agile la gestion de leurs commandes, offrir la meilleure expérience client et booster leurs ventes.
Notre ambition est de nous étendre toujours plus à l'international. Notre mission? Abolir les frontières entre commerce physique et digital. 
Les valeurs qui nous animent : Excellence, Bienveillance & Agilité. ","Français","Nous sommes ravis d'annoncer la présence de @_OneStock_FR la scale up #retailtech qui s'internationalise 🚀grâce à un #OMS agile et des solutions innovantes de #ShipFromStore et #WebToStore 📦🛍 
Ne manquez pas de les rencontrer sur leur stand ! #FrenchTech #devfesttoulouse
","De la #tech, une solution #agile, une équipe jeune/internationale, le tout, dans la bonne humeur ?! C'est chez @_OneStock_FR que ça se passe et ils recherchent des #dev #fullstack et des #projectmanager #IT 👏
Passez sur leur stand #devfesttoulouse ! 
#REACT #PHP7 #HTML5 #NodeJS
","Nous souhaitons le poster le lendemain de l’événement ","Basée en France et au Royaume-Uni, OneStock propose une suite logicielle omnicanale d’Order Management à destination des retailers souhaitant rendre agile la gestion de leurs commandes, offrir la meilleure expérience client et booster leurs ventes.","https://www.onestock-retail.com/fr/","Nous sommes une Start up Toulousaine et nous travaillons dans un secteur innovant nécessitant une mise à jour constante de nos connaissances techniques. Nous travaillons avec des technologies encore assez peu utilisées comme le langage de programmation Go. 
DevFest étant l'événement phare des Développeurs, pour nous, passionnés de Développement IT, il était impensable de ne pas faire partie de l'espace Start Up de l'événement DevFest 2019 ! ",""
